Mode	Buckling factor	Node	X	Y	Z	Displacement Magnitude
1	17321537028348.3	1	0	0	0	29.2073604646737
1	17321537028348.3	2	-300	0	0	15.2268547458881
1	17321537028348.3	3	-700	0	0	2.03101960247551
1	17321537028348.3	4	-1000	0	0	0
2	69286148113392.5	1	0	0	0	2.54765726544577
2	69286148113392.5	2	-300	0	0	3.29749864601542
2	69286148113392.5	3	-700	0	0	1.68943963904654
2	69286148113392.5	4	-1000	0	0	0
3	900719925474100	1	0	0	0	0.702424937550162
3	900719925474100	2	-300	0	0	0.036013091150917
3	900719925474100	3	-700	0	0	0.75263872515926
3	900719925474100	4	-1000	0	0	0
